text,positive,negative,ade,meddra,positive_ade,positive_meddra,negative_ade,negative_meddra
"sudden knee pain 2 week into it, horriable crippeling pain hit both knees at same moment, progressed to odd painful, lumpy swelling on both feet in same place on each and a sudden horriable grabbing pain in one ankle, gas, indigestion, acid reflux, no energy, confusion, stumbeling, vertigo, memory loss, frequent sudden urges to go pee that came out with a force that sprayed everywhere.","terrible short term memory problems, lack of motivation, weak and wobbly unbalanced feeling (walked like a 90 year old), not sure footed as i walked, overall weak feeling, difficulty driving due to muscle function irregularities, tightness in throat with occasional choking problem, lightheaded foggy brain (like being in a stupor), loss of endurance, heavy legs and arms, eye muscle spasms, dizziness (vertigo), lousy sleeping at night, terrible concentration, bad dreams nightly, foot and leg cramps especially at night in bed, always exhausted, hip joint pain, muscular aches, swallowing problems, hard to get out of bed in the morning, constant muscle tension in legs (inflexibility), sadness, mood swings, loss of muscle mass in chest and arms.","debilitating muscle and joint pain, swelling of feet and hands, numbness and tingling in feet and hands, headaches, fatigue, blurred vision.",vertigo,vertigo,vertigo,vertigo,can't walk,unable to walk
extreme upset stomach.,unable to eat,serious stomach discomfort.,couldn't eat or drink,unable to eat,couldn't eat or drink,unable to eat,stomach discomfort,stomach ache
@brokenmind_ quetiapine was horrific for me in relation to wait gain. such a horror story. but the weight will come off one day at a time.,"i might have gained 30 lbs in 6 weeks on zyprexa...haven't lost that weight yet, and it's been 12 years now. call doc if it happens to you.","@jessovenden no more ssri?s for me. they kept giving me manic reactions, usually angry. the seroquel has me feeling too tired. it?s brutal",wait gain,weight gain,gained 30 lbs,weight gain,manic reactions,manic reaction
i have been taking this medication for more than 4 years for cholesterol.,"muscle pain, stiffness/pain in hands that kept me awake at night and limited my ability to perform routine tasks such as type, trouble with walking/balance neck, and shoulder pain.","i have been on this medication for approximately two years and it has been very affective in lowering my cholesterol; however, i did notice that i became depressed with intermittent muscle pain.",loss of balance,balance difficulty,trouble with walking/balance,balance difficulty,depressed,depression
"slurring in speech, lower back pain, bloated, constipated and severe hip pain on both hips.","on the third day taking just 5mg, stomach cramps and loose stools set in.","jaw,neck, low back and hip pains.",bloated,bloating,bloating,bloating,numbness,numbness
i took this drug a few years ago and went off it because my hair started thinning.,started on lipitor about 6 months ago.,i used to take provachol (sp?)but i found it caused extreme bloating.,nervous,nervousness,jittery,nervousness,drowsy,drowsiness
"fuzzy, dizzy, light-headedness feeling i've never had before.","muscle twitching, stiff neck, constant lightheadedness, always worrying about a brain tumor or something.","dizziness, sickness, stomach gas, feel like a bubble of air is stuck in my chest.",light-headedness feeling,lightheadedness,light head,lightheadedness,sick,ill-defined disorder
"iritated eyes, extremely painful inflammed joints(too painful to walk) muscle cramps, numbness and tingling in feet arm and legs-muscle spasams in face and neck.",very bad pain in left side and buttocks.,"debilitating muscle and joint pain, swelling of feet and hands, numbness and tingling in feet and hands, headaches, fatigue, blurred vision.",painful to walk,pain aggravated,hurt to stand,pain aggravated,swelling hands,hand swelling
pain all over my body.,"body aches (knees, back and especially chest) which increased with time, lethargic, short term memory lacking, concentration is worse than ever.",intense and constant pain in my legs and arms.,pain all over my body,generalised aching,body aches,generalised aching,intense and constant pain in legs,pain of lower extremities
"fatigue, brain fog, stuttering, bad ocd!.","10 mg a day of lipitor and 6 months later i have extreme leg pain in the calves after just walking a few blocks, in a brain fog with memory loss, vision is giving me problems and feel like shit all the time.","extreme tiredness, dizziness, memory loss, moody.",brain fog,mental dullness,brain fog,mental dullness,moody,mood variable
"took a quetiapine it's been a while and i'm ready for bed, so tiiiiired",makes me very tired.,21.36 day 9 rivaroxaban diary. particularly bad lower back ache had not eased by 14.00 so went to bed. much better when i woke at 19.00.,tiiiiired,tiredness,very tired,tiredness,back ache,back ache
@tittuck i know it made me want to be sick every time i had it plus fluoxetine is the bigges bunch of shit ive been on worse than sertraline,so glad to have just finished a course of cipro! fingers crossed i can stay off of nausea inducing meds for the next little while...,"@notquitereal yeah, i mean, fluoxetine made me feel like shit, and citalopram makes me feel ace, so worth considering if you ever have to",want to be sick,nausea,nausea,nausea,feel like shit,feeling unwell
"swollen , burning feet and ankles.",severe cramps in toes.,"muscle weakness in arms and legs, blurry eyesight, hair loss, but worst of all, burning feet and painful heels.",very painful pins and needles over entire foot,pins and needles,tingling in toes and feet,pins and needles,painful heels,pain in heel
all fine for first five weeks and then.,i added a rating about a month ago.,took 4 out of 5 days.,stiffness at left knee,stiff knees,sore and stiff knees,stiff knees,constipation,constipation
"tingling in feet & face/abdominal & muscular pain in back of neck/ cramps in calves, this stuff is horrible!!! .",muscle ache.,"iritated eyes, extremely painful inflammed joints(too painful to walk) muscle cramps, numbness and tingling in feet arm and legs-muscle spasams in face and neck.",muscular pain,myalgia,muscle ache,myalgia,painful to walk,pain aggravated
"rapid shallow breathing, fatigue, disorientation, slightly blurred vision, erectile disfunction, muscle pain.",muscle aches in legs.,"muscle pain and weakness, headaches, sleep disturbances.",muscle pain,myalgia,muscle aches in legs,myalgia,muscles very tight,muscle tension
"imence pain in legs,calf,feet,cramping in legs and feet,even toes,,armpain,swelling,extreme heaviness in limbs,backache,bloody noes, high cpk, my short term memory is terrible,confusion.",initially there were no side effects.,"debilitating muscle and joint pain, swelling of feet and hands, numbness and tingling in feet and hands, headaches, fatigue, blurred vision.",short term memory is terrible,short-term memory impairment,short term memory loss,short-term memory impairment,swelling hands,hand swelling
"very very blurry vision, at times felt that i'm going blind, severe muscle pain, dizziness, and migrane headaches.","75 yo mother-in-law has memory loss, hair loss, muscle spasms in left arm and legs, odd blood sugar pattern, sciatic pain which is not sciatica, periodic back and hip pain, gradual loss of feeling in toes, dizziness, vision problems, extreme tiredness, lack of appetite, and no enthusaism for life.","migrane headaches, very very blurry vision, at times felt like i'm going blind, severe muscle pain and dizziness.",dizziness,dizziness,dizziness,dizziness,very very blurry vision,blurred vision
results of accidentally taking 100 mg of vyvanse last night: i took it at 11:00am and was wide awake until 3:30 this morning..,"muscle tightness, cramping in legs and back.",oh my god. it's 5:19am and i am just now realizing that i accidentally took a vyvanse at 11pm... that explains why i can't sleep.,wide awake,difficulty sleeping,problems sleeping,difficulty sleeping,can't sleep,sleep loss
"arms stil hurt. cipro to tendons is like a razor to rope: cut it partway through, makes it weaker &amp; won't heal ever. damned cipro.",tendon injury,"almost blew out my arms &amp; heels @ work. they hurt like hell. &amp; the pain is spreading, damned cipro.",tendons is like a razor to rope,tendon injury,tendons is like a razor to rope,tendon injury,heels,pain in heel
all and some not noted - kidney-metal moods-anzity-sugar level drops - stomach ulcer-joint pain- memory trouble- put on more meds- lipitor admited to giving kidney troubles to me -i took other s with same troubles and more.,took 10mg lipitor for approximately one year.,"within 24 hrs i was having direar, severe muscle aces, headace, collapades in the floor on the third day, called the dr, went back he did a liver test and took me off the medicane, but was still having symptoms, in 5 days i had blisters on my finger and palms of my hands, and on the soles of my feet, the blisters lasted 1 and a half years, my hands and feet would bleed, i saw another dr and he did tell me it was because of the lipitor, till this day i am still having problems, i still have muscle aces, memory loss, i don,t think my kidney,s are as good, i fell like my body is being attacked in different places in seems to come and go about every three weeks, i will have severe headaces, this has been 3 years ago, i think it did perment damage to me, some times i wonder when i am going to die, i forget things all the time, and even forgot how to get to the dr,s office once, i even forget my grandaughter name from time, im only 52 years of age, to young to have all this problems, iam so.",anzity,anxiety,anxiety,anxiety,forget things all the time,forgetfulness
